submercado,nombre,actividad,estado,inicio_operacion
ENVC,ENERVISA S.A.S E.S.P.,COMERCIALIZACIÓN,OPERACION,2021-02-04
CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2021-01-13
CHZG,CENTRAL HIDROELÉCTRICA ZEUS SAS ESP,GENERACIÓN,OPERACION,2020-12-28
CVZC,CELLVOZ COLOMBIA SERVICIOS INTEGRALES S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2020-12-18
GNYG,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2020-12-17
PCEC,PROMOENERCOL COMERCIALIZADORA DE ENERGÍA S.A.S E.S.P,COMERCIALIZACIÓN,OPERACION,2020-12-04
DARC,EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE CARMEN DEL DARIEN S.A E.S.P,COMERCIALIZACIÓN,OPERACION,2020-12-02
UGAC,UNIGAS ENERGY S.A.S. EMPRESA DE SERVICIO PÚBLICO,COMERCIALIZACIÓN,OPERACION,2020-11-26
TGEG,TECHNOELITE GREEN ENERGY S.A.S. E.S.P,GENERACIÓN,OPERACION,2020-11-26
EMRC,ELECTRIFICADORA DEL MUNICIPIO DE RIOSUCIO CHOCO S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2020-11-24
HDTG,HIDROTOLIMA S.A. E.S.P.,GENERACIÓN,OPERACION,2020-11-24
GAPC,GAP ENERGY GROUP SAS ESP,COMERCIALIZACIÓN,OPERACION,2020-11-04
TGEC,TECHNOELITE GREEN ENERGY S.A.S. E.S.P,COMERCIALIZACIÓN,OPERACION,2020-11-04
EXIC,ENERXIA COLOMBIA SAS ESP,COMERCIALIZACIÓN,OPERACION,2020-10-21
IAEC,IA ENERGÍA Y GESTIÓN S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2020-10-20
CSSC,AIR- E S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2020-10-13
CSSD,AIR- E S.A.S. E.S.P.,DISTRIBUCIÓN,OPERACION,2020-10-13
AAGG,AAGES DEVELOPMENT COLOMBIA S.A.S E.S.P.,GENERACIÓN,OPERACION,2020-10-07
EGPG,ENEL GREEN POWER COLOMBIA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2020-10-01
GRNG,GENERADORA RIO NEGRO S.A.S. E.S.P.,GENERACIÓN,OPERACION,2020-09-25
GCEG,GENERADORA COLOMBIANA DE ELECTRICIDAD S.A. E.S.P.,GENERACIÓN,OPERACION,2020-09-18
DEPC,DEPI ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2020-09-11
PCYG,P.CH EL COCUYO SAS ESP,GENERACIÓN,OPERACION,2020-09-11
DCCC,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGÍA ELÉCTRICA DE EL CHARCO S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2020-09-10
CMMD,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,DISTRIBUCIÓN,OPERACION,2020-09-04
PRIG,PROELECTRICA S.A.S E.S.P.,GENERACIÓN,OPERACION,2020-08-11
GNYC,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2020-08-11
PMGC,PLUS + EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE GAS S.A.S.,COMERCIALIZACIÓN,OPERACION,2020-07-24
CBYC,CARBOENERGY SAS ESP,COMERCIALIZACIÓN,OPERACION,2020-07-02
