Recurso ID,nombre,submercado,capacidad_efectiva,factor_conversion,es_menor,tipo_despacho,tipo_generacion,inicio_operacion,estado,nombre_agente,combustible,clasificacion
Cog0001,COGENERADOR BIOAISE 1,BIOE,1,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,1998-01-08 00:00:00,INACTIVO,BIOAISE S.A.,GAS,COGENERADOR
Cog0002,INCAUCA 1,INC1,10,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,10/21/1998 12:00:00 AM,OPERACION,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,BAGAZO,COGENERADOR
Cog0003,COGENERADOR INGENIO PROVIDENCIA 1,INP1,0,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,2006-01-12 00:00:00,INACTIVO,EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.,BIOMASA,COGENERADOR
Cog0004,COGENERADOR PROENCA 1,PNC1,4,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,1999-01-01 00:00:00,INACTIVO,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,BAGAZO,COGENERADOR
Cog0005,INGENIO RISARALDA 1,IRG1,17,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,8/15/2003 12:00:00 AM,OPERACION,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,BAGAZO,COGENERADOR
Cog0006,CENTRAL CASTILLA 1,CAS1,3,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,8/15/2004 12:00:00 AM,OPERACION,RIOPAILA ENERGÍA S.A.S. E.S.P.,BAGAZO,COGENERADOR
Cog0007,INGENIO RIOPAILA 1,RPL1,16,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,5/21/2018 12:00:00 AM,OPERACION,RIOPAILA ENERGÍA S.A.S. E.S.P.,BAGAZO,COGENERADOR
Cog0009,CENTRAL TUMACO 1,CTMO,0,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,3/25/2007 12:00:00 AM,INACTIVO,EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.,BAGAZO,COGENERADOR
Cog0010,COGENERADOR COLTEJER 1,CLTJ,"9,4",0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,12/19/2013 12:00:00 AM,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,CARBON,COGENERADOR
Cog0011,PAPELES NACIONALES,PPN1,0,0,NO,NO DESPACHADO CENTRALMENTE,COGENERADOR,2009-05-02 00:00:00,OPERACION,ENERCO S.A. E.S.P.,GAS,COGENERADOR
